Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,PEEP,Dy_comp,Label
36,100.0,1158.6115,-1242.697,0.932336281490983,8.58,2.8,5.78,0.4844290657439445,19.81,5.16,83.90931802835922,Recruitment
37,100.0,667.713,-760.041,0.878522342873608,8.56,2.8,5.76,0.4861111111111111,12.45,5.29,102.01892617449666,Recruitment
38,100.0,668.66,-724.697,0.922675269802414,8.58,2.81,5.77,0.4870017331022531,12.32,4.9,99.00232240437158,Recruitment
39,100.0,668.971,-716.439,0.9337445337286218,8.57,2.81,5.76,0.4878472222222222,12.19,4.97,99.64381084840056,Recruitment
40,100.0,668.564,-711.2185,0.9400261663609708,8.58,2.81,5.77,0.4870017331022531,12.26,4.9,97.96398071625345,Recruitment
41,100.0,668.4985,-713.65,0.9367315911160934,8.57,2.8,5.77,0.4852686308492201,12.32,4.97,97.4931693989071,Recruitment
42,100.0,669.2175,-710.2715,0.9421995673485422,8.57,2.81,5.76,0.4878472222222222,12.32,4.9,97.0316256830601,Recruitment
43,100.0,668.625,-708.34,0.943932292401954,8.58,2.81,5.77,0.4870017331022531,12.32,4.9,96.76775956284152,Recruitment
44,100.0,668.7405,-711.724,0.9396065047687024,8.57,2.81,5.76,0.4878472222222222,12.32,4.97,97.23005464480876,Recruitment
45,100.0,668.6935,-705.242,0.9481759452783584,8.58,2.81,5.77,0.4870017331022531,12.39,4.9,95.43193504736128,Recruitment
46,100.0,668.683,-716.594,0.9331406626346298,8.57,2.8,5.77,0.4852686308492201,12.45,4.9,96.18711409395976,Recruitment
47,100.0,669.1345,-709.713,0.9428240711386152,8.57,2.81,5.76,0.4878472222222222,12.32,4.9,96.95532786885244,Recruitment
48,100.0,668.2585,-705.8825,0.9466993444376366,8.58,2.81,5.77,0.4870017331022531,12.32,4.97,96.43203551912568,Recruitment
49,100.0,668.961,-707.9225,0.9449636083045814,8.57,2.81,5.76,0.4878472222222222,12.32,4.97,96.71072404371584,Recruitment
50,100.0,668.7775,-708.122,0.9444382465168432,8.58,2.81,5.77,0.4870017331022531,12.32,4.9,96.7379781420765,Recruitment
51,100.0,668.229,-707.5085,0.9444819390862442,8.57,2.8,5.77,0.4852686308492201,12.32,4.97,96.65416666666668,Recruitment
52,100.0,668.8035,-742.5735,0.9006562986694246,8.57,2.81,5.76,0.4878472222222222,12.26,4.9,102.28285123966944,Recruitment
53,100.0,818.7085,-955.287,0.8570288300793374,8.58,2.81,5.77,0.4870017331022531,14.8,4.97,97.47826530612244,Recruitment
54,100.0,949.231,-991.029,0.9578236358370946,8.57,2.8,5.77,0.4852686308492201,17.27,4.9,80.76845965770171,Recruitment
55,100.0,1106.955,-1073.277,1.031378665526234,8.58,2.81,5.77,0.4870017331022531,18.7,5.1,78.34138686131388,Recruitment
56,100.0,1206.444,-1249.634,0.9654378802113258,8.57,2.81,5.76,0.4878472222222222,20.14,5.03,82.53857331571994,Recruitment
57,100.0,1397.2025,-1403.4335,0.9955601743866026,8.58,2.81,5.77,0.4870017331022531,23.13,5.03,77.40945945945947,Recruitment
58,100.0,1396.4195,-1240.9015,1.1253266274559262,22.65,16.88,5.77,2.925476603119584,24.24,5.03,64.49591995841996,InPause
59,100.0,1398.5875,-1430.3395,0.977801074500145,13.92,8.15,5.77,1.4124783362218372,24.89,5.03,71.91249371543489,InPause
60,100.0,1398.392,-1575.099,0.8878121311739771,8.57,2.81,5.76,0.4878472222222222,24.04,4.97,82.72578781512605,Recruitment
61,100.0,1392.575,-1284.206,1.0843859941473566,19.05,13.28,5.77,2.3015597920277298,25.34,5.03,63.13697148475909,InPause
62,100.0,1228.0125,-1339.9615,0.916453569748086,8.57,2.81,5.76,0.4878472222222222,20.4,5.03,87.01048701298701,Recruitment
63,100.0,666.622,-785.695,0.8484488255620819,8.58,2.81,5.77,0.4870017331022531,12.39,4.9,106.31867388362652,Recruitment
64,100.0,532.6375,-660.3775,0.8065651843074605,8.57,2.81,5.76,0.4878472222222222,10.76,5.03,114.6488715277778,Recruitment
65,100.0,540.113,-588.425,0.9178960785146792,8.58,2.81,5.77,0.4870017331022531,10.44,4.97,108.16636029411764,Normal
66,100.0,539.5575,-592.973,0.9099191700128,8.57,2.8,5.77,0.4852686308492201,10.63,4.97,105.32380106571934,Normal
67,100.0,540.376,-588.269,0.918586564989826,8.57,2.81,5.76,0.4878472222222222,10.57,4.9,105.61382405745064,Normal
68,100.0,539.4245,-585.3385,0.9215599178936632,8.58,2.81,5.77,0.4870017331022531,10.63,4.9,103.9677619893428,Normal
69,100.0,539.8945,-585.868,0.9215292523230488,8.57,2.81,5.76,0.4878472222222222,10.7,4.9,102.78385964912285,Normal
70,100.0,539.4655,-583.8935,0.9239107816750828,8.58,2.81,5.77,0.4870017331022531,10.7,4.9,102.43745614035087,Normal
71,100.0,539.5445,-582.4715,0.926301973572956,8.57,2.8,5.77,0.4852686308492201,10.76,4.9,101.12352430555556,Normal
72,100.0,539.935,-583.654,0.925094319579751,8.57,2.81,5.76,0.4878472222222222,10.76,4.9,101.32881944444443,Normal
73,100.0,539.5355,-590.0945,0.9143205029025012,8.58,2.81,5.77,0.4870017331022531,11.15,4.97,95.95032520325204,Normal
74,100.0,539.9685,-583.872,0.9248062931601446,8.57,2.81,5.76,0.4878472222222222,10.76,4.9,101.36666666666666,Normal
75,100.0,539.7975,-573.2775,0.9415989638525843,8.58,2.81,5.77,0.4870017331022531,10.76,4.9,99.52734375,Normal
76,100.0,539.36,-580.0415,0.929864501074492,8.57,2.8,5.77,0.4852686308492201,10.89,4.9,98.4790322580645,Normal
77,100.0,539.8525,-580.43,0.9300906224695484,8.57,2.81,5.76,0.4878472222222222,10.89,4.9,98.54499151103563,Normal
78,100.0,539.4105,-577.7405,0.933655334877856,8.58,2.81,5.77,0.4870017331022531,10.96,4.9,96.93632550335568,Normal
79,100.0,539.897,-579.4365,0.931762151676672,8.57,2.81,5.76,0.4878472222222222,11.02,4.9,96.25191029900331,Normal
80,100.0,539.7355,-578.8005,0.9325069691543112,8.58,2.81,5.77,0.4870017331022531,11.09,4.9,95.04113300492612,Normal
81,100.0,539.336,-646.247,0.8345663500178725,8.57,2.8,5.77,0.4852686308492201,11.09,4.9,106.11609195402298,Normal
82,100.0,539.7065,-580.3755,0.9299264010972208,8.57,2.81,5.76,0.4878472222222222,11.28,4.97,92.41648089171976,Normal
83,100.0,539.121,-576.7335,0.9347835698810628,8.58,2.81,5.77,0.4870017331022531,11.35,4.97,90.82417322834648,Normal
84,100.0,539.7195,-567.0935,0.9517293003711028,8.57,2.81,5.76,0.4878472222222222,11.54,4.97,86.71154434250765,Normal
85,100.0,539.325,-575.239,0.937566820052187,8.58,2.81,5.77,0.4870017331022531,11.54,5.03,87.95703363914375,Normal
86,100.0,539.6865,-592.2715,0.9112147047426732,8.58,2.81,5.77,0.4870017331022531,11.41,4.97,92.39804992199689,Normal
87,100.0,539.72,-593.726,0.9090388495703404,8.57,2.8,5.77,0.4852686308492201,11.48,5.1,91.62438271604938,Normal
88,100.0,539.39,-594.342,0.9075414491992826,8.57,2.8,5.77,0.4852686308492201,11.41,5.03,92.72106084243369,Normal
89,100.0,539.614,-592.142,0.911291548311047,8.57,2.81,5.76,0.4878472222222222,11.54,4.9,90.5415902140673,Normal
90,100.0,539.867,-614.312,0.8788156506791337,8.58,2.81,5.77,0.4870017331022531,11.8,5.1,90.34,Normal
91,100.0,539.2095,-595.2385,0.905871344007486,8.57,2.8,5.77,0.4852686308492201,11.93,4.97,85.89300144300145,Normal
92,100.0,539.545,-542.3295,0.9948656674586204,8.57,2.81,5.76,0.4878472222222222,11.22,4.97,87.19123794212219,Normal
93,100.0,539.4485,-601.6365,0.8966352606598835,8.58,2.81,5.77,0.4870017331022531,12.0,4.97,85.94807142857142,Normal
94,100.0,539.7495,-583.051,0.9257329118722032,8.57,2.81,5.76,0.4878472222222222,11.8,4.97,85.74279411764705,Normal
95,100.0,539.425,-574.251,0.9393540455306127,8.58,2.81,5.77,0.4870017331022531,11.67,4.97,86.09460269865068,Normal
96,100.0,539.441,-554.281,0.9732265764116036,8.57,2.81,5.76,0.4878472222222222,11.48,4.9,85.53719135802467,Normal
97,100.0,539.6305,-585.5015,0.9216551964427075,8.58,2.81,5.77,0.4870017331022531,11.74,4.9,86.86965875370919,Normal
98,100.0,539.1615,-591.562,0.9114201047396554,8.57,2.8,5.77,0.4852686308492201,11.8,4.97,86.99441176470587,Normal
99,100.0,539.8225,-587.2415,0.9192512790734306,8.57,2.81,5.76,0.4878472222222222,11.8,5.03,86.35904411764704,Normal
100,100.0,539.319,-583.069,0.9249659988783488,8.58,2.81,5.77,0.4870017331022531,11.8,4.9,85.74544117647058,Normal
