Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,F_min,PEEP,Dy_comp,Label
1101,100.0,331.7585,-334.3235,0.992327790298917,6.0,2.75,3.25,0.8461538461538461,15.97,-94.06,4.84,30.476162260711032,Assessment
1102,100.0,331.5225,-334.413,0.9913564963084568,6.01,2.75,3.26,0.843558282208589,15.97,-93.79,4.84,30.484320875113948,Assessment
1103,100.0,332.1425,-334.911,0.991733624754039,6.0,2.75,3.25,0.8461538461538461,16.03,-94.88,4.84,30.36364460562103,Assessment
1104,100.0,332.07,-332.901,0.9975037623798064,5.99,2.75,3.24,0.8487654320987654,16.03,-94.8,4.84,30.181414324569356,Assessment
1105,100.0,331.745,-332.403,0.9980204751461328,6.01,2.76,3.25,0.8492307692307691,16.03,-94.52,4.9,30.136264732547595,Assessment
1106,100.0,331.607,-333.294,0.9949384027315225,6.0,2.75,3.25,0.8461538461538461,15.97,-93.3,4.84,30.382315405651774,Assessment
1107,100.0,332.1845,-333.1505,0.9971004095746516,6.0,2.76,3.24,0.8518518518518517,16.03,-93.71,4.84,30.20403445149592,Assessment
1108,100.0,332.1935,-334.405,0.9933867615615796,6.01,2.76,3.25,0.8492307692307691,16.16,-94.74,4.9,29.964605734767023,Assessment
1109,100.0,332.162,-334.579,0.9927759961025646,5.99,2.75,3.24,0.8487654320987654,16.1,-94.96,4.84,30.14225225225225,Assessment
1110,100.0,331.8945,-332.6265,0.9977993334866584,6.01,2.76,3.25,0.8492307692307691,16.16,-95.42,4.9,29.805241935483878,Assessment
1111,100.0,331.641,-334.048,0.992794448701983,6.0,2.75,3.25,0.8461538461538461,16.16,-95.91,4.9,29.9326164874552,Assessment
1112,100.0,331.5935,-332.5775,0.997041291127632,6.0,2.75,3.25,0.8461538461538461,16.1,-94.47,4.9,29.961936936936933,Assessment
1113,100.0,332.124,-330.288,1.005558785060311,6.01,2.76,3.25,0.8492307692307691,16.16,-95.64,4.9,29.595698924731185,Assessment
1114,100.0,332.135,-332.965,0.9975072455062844,6.0,2.75,3.25,0.8461538461538461,16.16,-96.04,4.84,29.835573476702507,Assessment
1115,100.0,331.673,-332.743,0.9967843050041624,6.0,2.75,3.25,0.8461538461538461,16.23,-96.04,4.9,29.629830810329477,Assessment
1116,100.0,331.593,-330.928,1.0020095005560123,6.0,2.75,3.25,0.8461538461538461,16.23,-94.96,4.9,29.46821015138023,Assessment
1117,100.0,332.225,-332.3975,0.999481043028302,6.0,2.76,3.24,0.8518518518518517,16.29,-94.52,4.9,29.441762621789195,Assessment
1118,100.0,332.0365,-332.1875,0.999545437441204,6.0,2.76,3.24,0.8518518518518517,16.23,-95.91,4.9,29.580365093499555,Assessment
1119,100.0,332.0895,-334.959,0.9914332798939572,6.0,2.76,3.24,0.8518518518518517,16.29,-96.78,4.9,29.668644818423385,Assessment
1120,100.0,331.9325,-333.8745,0.9941834431799972,6.01,2.76,3.25,0.8492307692307691,16.29,-96.72,4.9,29.57258635961028,Assessment
1121,100.0,331.67,-324.6425,1.0216468885004275,6.0,2.75,3.25,0.8461538461538461,16.29,-96.1,4.9,28.75487156775908,Assessment
1122,100.0,331.5055,-339.744,0.97575085947066,6.01,2.75,3.26,0.843558282208589,16.56,-97.75,5.1,29.389619377162635,Assessment
1123,100.0,332.152,-333.642,0.9955341353906284,6.0,2.75,3.25,0.8461538461538461,16.36,-96.72,4.9,29.369894366197183,Assessment
1124,100.0,332.0215,-333.275,0.9962388417973146,6.0,2.75,3.25,0.8461538461538461,16.36,-97.07,4.84,29.33758802816901,Assessment
1125,100.0,331.8275,-333.406,0.995265532113999,6.0,2.75,3.25,0.8461538461538461,16.36,-96.78,4.9,29.34911971830986,Assessment
1126,100.0,331.733,-334.018,0.9931590513086122,6.0,2.75,3.25,0.8461538461538461,16.29,-95.77,4.9,29.58529672276351,Assessment
1127,100.0,332.1695,-329.5135,1.008060367784628,6.0,2.76,3.24,0.8518518518518517,16.36,-94.52,4.84,29.006470070422537,Assessment
1128,100.0,332.016,-334.8415,0.9915616791825388,6.0,2.76,3.24,0.8518518518518517,16.49,-96.86,4.9,29.14199303742385,Assessment
1129,100.0,332.0955,-333.483,0.9958393681237124,6.0,2.76,3.24,0.8518518518518517,16.43,-97.4,4.9,29.176115485564303,Assessment
1130,100.0,331.8355,-333.892,0.9938408227810192,6.01,2.76,3.25,0.8492307692307691,16.43,-97.13,4.9,29.211898512685917,Assessment
1131,100.0,331.647,-334.4285,0.9916828260749307,6.0,2.75,3.25,0.8461538461538461,16.43,-97.4,4.9,29.25883639545057,Assessment
1132,100.0,331.5415,-329.5275,1.0061117812625653,6.01,2.75,3.26,0.843558282208589,16.36,-97.13,4.84,29.00770246478873,Assessment
1133,100.0,332.1345,-334.669,0.9924268456295624,6.0,2.75,3.25,0.8461538461538461,16.49,-97.4,4.9,29.12697998259356,Assessment
1134,100.0,332.0995,-334.318,0.9933641024413882,6.0,2.75,3.25,0.8461538461538461,16.49,-97.81,4.9,29.0964316797215,Assessment
1135,100.0,331.763,-329.4825,1.0069214601685976,6.0,2.75,3.25,0.8461538461538461,16.29,-96.86,4.84,29.18356953055802,Assessment
1136,100.0,331.53,-331.566,0.9998914243318072,6.0,2.75,3.25,0.8461538461538461,16.36,-96.86,4.9,29.187147887323945,Assessment
1137,100.0,332.146,-331.6335,1.00154538066872,6.0,2.76,3.24,0.8518518518518517,16.43,-96.72,4.84,29.01430446194226,Assessment
1138,100.0,332.0785,-330.377,1.0051501769190956,6.0,2.76,3.24,0.8518518518518517,16.36,-96.64,4.84,29.0824823943662,Assessment
1139,100.0,332.185,-333.86,0.9949829269753788,6.0,2.76,3.24,0.8518518518518517,16.49,-97.94,4.84,29.056570931244565,Assessment
1140,100.0,331.7695,-333.0805,0.99606401455504,6.01,2.76,3.25,0.8492307692307691,16.36,-97.48,4.84,29.320466549295773,Assessment
1141,100.0,331.735,-333.973,0.9932988594886412,6.0,2.75,3.25,0.8461538461538461,16.43,-97.94,4.84,29.218985126859145,Assessment
1142,100.0,331.483,-334.195,0.9918849773335928,6.01,2.75,3.26,0.843558282208589,16.49,-97.81,4.84,29.08572671888599,Assessment
1143,100.0,332.087,-330.9475,1.0034431443053655,6.0,2.75,3.25,0.8461538461538461,16.43,-97.75,4.84,28.954286964129484,Assessment
1144,100.0,332.144,-332.547,0.99878814122515,6.0,2.75,3.25,0.8461538461538461,16.49,-97.89,4.84,28.94229765013056,Assessment
1145,100.0,331.8905,-333.611,0.9948427959509728,6.0,2.75,3.25,0.8461538461538461,16.56,-98.57,4.84,28.8590830449827,Assessment
1146,100.0,331.5975,-331.051,1.001650803048473,6.0,2.75,3.25,0.8461538461538461,16.49,-97.48,4.84,28.812097476066143,Assessment
1147,100.0,332.334,-335.466,0.9906637334334925,6.0,2.76,3.24,0.8518518518518517,16.62,-97.62,4.9,28.869707401032706,Assessment
1148,100.0,332.1325,-334.1825,0.9938656273144164,6.0,2.76,3.24,0.8518518518518517,16.56,-97.89,4.84,28.90852076124568,Assessment
1149,100.0,332.014,-335.307,0.9901791492572478,6.0,2.76,3.24,0.8518518518518517,16.56,-98.21,4.84,29.00579584775087,Assessment
1150,100.0,331.8945,-337.421,0.983621351368172,6.01,2.76,3.25,0.8492307692307691,16.62,-99.11,4.9,29.03795180722891,Assessment
1151,100.0,331.715,-334.411,0.9919380642383174,6.0,2.75,3.25,0.8461538461538461,16.56,-98.84,4.84,28.92828719723184,Assessment
1152,100.0,331.4895,-332.7955,0.996075668090464,6.01,2.75,3.26,0.843558282208589,16.49,-98.7,4.84,28.96392515230636,Assessment
1153,100.0,332.1845,-334.133,0.9941684897929868,6.0,2.75,3.25,0.8461538461538461,16.62,-99.03,4.84,28.754991394148018,Assessment
1154,100.0,332.0455,-332.649,0.9981857753968898,6.0,2.75,3.25,0.8461538461538461,16.56,-99.11,4.84,28.77586505190312,Assessment
1155,100.0,331.7325,-335.3355,0.9892555366192962,6.0,2.75,3.25,0.8461538461538461,16.56,-98.65,4.84,29.008261245674746,Assessment
1156,100.0,331.6645,-335.9905,0.9871246359644096,6.0,2.75,3.25,0.8461538461538461,16.56,-98.7,4.84,29.064922145328723,Assessment
1157,100.0,332.203,-333.3795,0.9964709887680556,6.0,2.76,3.24,0.8518518518518517,16.56,-96.86,4.84,28.83905709342561,Assessment
1158,100.0,332.0485,-334.6515,0.9922217590538216,6.0,2.76,3.24,0.8518518518518517,16.62,-98.35,4.9,28.79961273666093,Assessment
